Years of Experience,Age,Gender,Education Level,Job Role,Location,Industry,Salary (Annual)
12.5,60,Female,PhD,Software Engineer,Remote_USA,Consulting,191922.63
6.7,45,Male,Master's,Data Scientist,Delhi,Healthcare,38039.38
3.6,40,Male,Master's,Data Scientist,New York,Tech,170894.97
10.1,25,Female,Bachelor's,Software Engineer,Remote_India,Pharmaceutical,28614.71
28.3,47,Female,PhD,Product Manager,Chicago,Retail,222716.49
9.7,59,Other,Bachelor's,Data Scientist,Berlin,Logistics,135289.29
15.6,63,Male,Master's,Data Scientist,Remote_USA,Finance,193293.54
21.1,53,Female,PhD,Software Engineer,San Francisco,Healthcare,270500.38
10.9,60,Female,PhD,Software Engineer,Hyderabad,Healthcare,44583.73
29.2,57,Female,Master's,Software Engineer,Austin,Tech,260867.05
28.9,61,Female,Bachelor's,Data Scientist,Remote_India,Healthcare,48860.67
7.6,58,Female,PhD,UX Designer,Tokyo,Finance,115661.68
14.9,54,Male,Master's,Sales Rep,Remote_Bengaluru,Tech,47251.05
9.0,57,Female,PhD,Software Engineer,New York,Finance,224172.82
8.5,24,Female,Master's,UX Designer,Delhi,Tech,30145.39
1.1,30,Female,Bachelor's,Product Manager,Hyderabad,Manufacturing,20413.52
18.3,29,Female,Bachelor's,Data Scientist,London,Tech,185532.42
15.1,54,Male,Bachelor's,Software Engineer,New York,Education,193391.6
1.5,27,Male,Master's,Sales Rep,Mumbai,Pharmaceutical,22740.3
8.4,62,Other,Bachelor's,HR Manager,Mumbai,Healthcare,40118.14
27.2,60,Female,Bachelor's,Data Scientist,Austin,Automotive,230853.18
7.2,25,Female,Bachelor's,Software Engineer,Remote_USA,Consulting,107689.76
4.3,34,Male,Master's,Cybersecurity Analyst,Bengaluru,Manufacturing,33511.48
14.7,23,Female,Bachelor's,Product Manager,London,Tech,152368.4
29.6,26,Female,High School,Data Scientist,Toronto,Pharmaceutical,159377.9
7.3,65,Female,Bachelor's,Civil Engineer,Chennai,Media,29298.77
20.2,48,Male,High School,Teacher/Professor,Bengaluru,Finance,45406.86
22.8,53,Female,Bachelor's,UX Designer,Seattle,Tech,222896.86
7.1,42,Female,High School,Sales Rep,Singapore,Finance,102039.3
21.8,29,Male,High School,Data Scientist,Singapore,Manufacturing,163632.46
11.0,59,Female,PhD,Software Engineer,Toronto,Healthcare,148969.02
19.0,29,Female,Master's,Financial Analyst,Remote_Bengaluru,Manufacturing,43482.29
19.0,24,Female,Bachelor's,Software Engineer,Remote_USA,Tech,151187.14
16.1,65,Female,PhD,UX Designer,London,Pharmaceutical,216218.46
2.7,24,Male,High School,Cloud Engineer,Bengaluru,Finance,26206.01
25.1,43,Male,Master's,DevOps Engineer,Remote_USA,Tech,197838.88
9.6,27,Male,Master's,Data Scientist,Remote_India,Education,29002.45
5.6,23,Male,Bachelor's,Marketing Specialist,San Francisco,Tech,136832.03
1.2,44,Female,Bachelor's,Sales Rep,New York,Tech,111037.56
17.7,65,Male,Bachelor's,Cybersecurity Analyst,Bengaluru,Finance,57506.64
20.3,23,Female,Bachelor's,Product Manager,Bengaluru,Retail,41243.5
0.5,59,Other,Master's,Software Engineer,Toronto,Aerospace,126999.19
15.4,38,Female,High School,Data Scientist,San Francisco,Media,177376.04
6.8,56,Female,Bachelor's,Product Manager,San Francisco,Healthcare,179712.12
19.4,55,Female,Bachelor's,Product Manager,San Francisco,Tech,254355.61
5.2,44,Female,Bachelor's,Teacher/Professor,New York,Retail,107472.1
20.7,51,Male,Bachelor's,HR Manager,New York,Consulting,204395.95
11.6,29,Male,High School,Product Manager,Chennai,Finance,29683.55
28.1,43,Female,Master's,Sales Rep,Bengaluru,Tech,58164.43
4.1,65,Female,Bachelor's,Software Engineer,Remote_India,Finance,31320.12
10.2,57,Female,Bachelor's,Cybersecurity Analyst,Singapore,Pharmaceutical,144556.38
3.4,26,Female,Master's,Cloud Engineer,Chennai,Finance,28395.08
27.7,34,Female,High School,DevOps Engineer,New York,Media,209022.39
26.3,50,Male,Master's,Civil Engineer,San Francisco,Finance,273538.92
7.7,52,Other,Master's,Data Scientist,Berlin,Tech,145692.23
19.8,37,Female,Bachelor's,Software Engineer,Mumbai,Healthcare,42061.89
24.5,63,Male,High School,Financial Analyst,London,Healthcare,219572.13
16.7,51,Female,Bachelor's,Cloud Engineer,London,Tech,192777.86
15.9,37,Male,High School,Data Scientist,Toronto,Tech,153094.67
7.3,33,Female,High School,Software Engineer,Sydney,Tech,102484.79
2.8,38,Female,Bachelor's,Teacher/Professor,Delhi,Tech,22568.29
26.9,37,Male,Bachelor's,Software Engineer,Remote_USA,Finance,180375.83
27.0,33,Female,Bachelor's,UX Designer,Sydney,Logistics,160803.53
19.0,29,Female,Master's,HR Manager,Mumbai,Retail,43827.43
10.2,41,Male,Bachelor's,Data Scientist,New York,Education,168925.15
10.5,24,Male,High School,Software Engineer,Chennai,Finance,24200.17
21.8,37,Female,Bachelor's,Teacher/Professor,Delhi,Finance,40932.21
26.9,51,Male,Master's,Marketing Specialist,Toronto,Tech,189490.11
26.6,44,Male,Bachelor's,Healthcare Administrator,Chennai,Retail,43348.03
23.4,49,Male,Master's,Product Manager,Remote_USA,Healthcare,189154.8
19.3,61,Male,Bachelor's,Software Engineer,Tokyo,Tech,135996.44
2.5,26,Female,Master's,Consultant,Remote_Bengaluru,Pharmaceutical,27224.46
4.8,41,Female,Bachelor's,Financial Analyst,Chennai,Healthcare,23213.41
27.0,61,Male,Bachelor's,Data Scientist,Chicago,Finance,234688.42
18.2,65,Female,Bachelor's,Teacher/Professor,Remote_USA,Tech,162951.89
0.3,22,Male,Bachelor's,Data Scientist,Hyderabad,Retail,16181.44
3.0,51,Female,Bachelor's,Data Scientist,New York,Manufacturing,131267.76
19.9,42,Other,Bachelor's,Software Engineer,Seattle,Finance,190881.89
0.2,41,Male,Master's,UX Designer,Hyderabad,Tech,27565.58
4.8,27,Female,PhD,UX Designer,Mumbai,Retail,31727.49
16.5,43,Female,Bachelor's,Sales Rep,Bengaluru,Tech,45337.98
20.8,39,Male,Bachelor's,Consultant,San Francisco,Consulting,228834.27
19.6,29,Male,Bachelor's,Cybersecurity Analyst,Bengaluru,Education,44050.21
6.7,60,Male,Master's,Software Engineer,Remote_India,Tech,36724.96
21.4,53,Female,Bachelor's,Software Engineer,Seattle,Tech,235937.47
7.1,54,Other,PhD,Software Engineer,New York,Education,200745.0
9.8,37,Female,Bachelor's,Software Engineer,Hyderabad,Finance,32197.94
22.4,33,Female,Bachelor's,HR Manager,Tokyo,Tech,118871.69
19.5,59,Female,Master's,Consultant,Delhi,Manufacturing,44441.62
25.5,55,Female,Master's,Teacher/Professor,San Francisco,Finance,254139.9
19.7,35,Female,Bachelor's,Data Scientist,Remote_USA,Healthcare,152878.35
17.0,57,Male,Bachelor's,Product Manager,Berlin,Tech,160942.17
2.8,54,Female,PhD,Sales Rep,Seattle,Education,132226.81
11.0,44,Female,High School,Software Engineer,Delhi,Finance,33860.95
8.0,23,Male,Master's,Marketing Specialist,Bengaluru,Logistics,36510.07
7.3,62,Female,High School,Healthcare Administrator,Austin,Consulting,138033.35
29.2,42,Male,Master's,Product Manager,London,Tech,254911.0
11.8,23,Female,Master's,Consultant,Remote_India,Healthcare,28820.5
26.8,48,Female,Bachelor's,Sales Rep,Chennai,Finance,42252.96
18.9,30,Male,Master's,Software Engineer,Seattle,Retail,196172.03
23.8,22,Male,High School,Marketing Specialist,San Francisco,Media,171993.46
15.1,32,Male,Bachelor's,Product Manager,Delhi,Education,30451.55
17.3,24,Female,Bachelor's,Software Engineer,Delhi,Tech,34863.48
14.8,44,Male,Bachelor's,Marketing Specialist,Austin,Consulting,161463.87
5.9,47,Female,Master's,Civil Engineer,New York,Tech,164712.57
21.7,25,Male,High School,Product Manager,San Francisco,Pharmaceutical,199661.5
8.4,39,Other,High School,UX Designer,Singapore,Consulting,128245.38
0.7,27,Female,High School,Cybersecurity Analyst,Remote_Bengaluru,Finance,18279.72
19.4,56,Female,Bachelor's,Teacher/Professor,Toronto,Finance,148179.81
5.3,43,Female,Bachelor's,Consultant,Austin,Pharmaceutical,118414.52
28.2,64,Female,Master's,Data Scientist,Sydney,Pharmaceutical,224068.4
28.6,36,Female,PhD,Cloud Engineer,San Francisco,Finance,297269.11
27.4,43,Male,Master's,Data Scientist,Mumbai,Finance,63157.96
11.1,58,Male,Bachelor's,Marketing Specialist,London,Retail,150013.83
0.5,63,Male,Bachelor's,Software Engineer,Remote_USA,Tech,132071.09
27.8,33,Male,Bachelor's,HR Manager,Bengaluru,Tech,56369.01
12.8,63,Male,Bachelor's,Product Manager,San Francisco,Tech,226726.08
29.0,59,Female,Bachelor's,UX Designer,San Francisco,Tech,276361.81
28.9,39,Other,High School,Product Manager,Chennai,Retail,41588.24
25.6,56,Male,Bachelor's,Data Scientist,Hyderabad,Food & Beverage,47064.81
8.8,51,Female,PhD,Marketing Specialist,Remote_Bengaluru,Consulting,39332.48
11.6,45,Male,Bachelor's,Cybersecurity Analyst,Delhi,Tech,38006.96
25.5,63,Female,Bachelor's,DevOps Engineer,Chennai,Retail,47164.75
9.5,51,Female,High School,Data Scientist,New York,Healthcare,179099.94
5.1,35,Female,Bachelor's,Consultant,Austin,Tech,119421.46
16.7,27,Other,Master's,HR Manager,Singapore,Automotive,140731.9
28.1,24,Male,Bachelor's,Product Manager,New York,Healthcare,209781.92
20.9,37,Female,Bachelor's,Software Engineer,Hyderabad,Food & Beverage,39542.94
17.1,28,Female,High School,HR Manager,Austin,Healthcare,118710.93
2.9,35,Male,Bachelor's,Cloud Engineer,Remote_India,Education,19802.15
18.5,30,Female,High School,Marketing Specialist,Hyderabad,Tech,34158.16
29.7,36,Male,Master's,UX Designer,Seattle,Healthcare,239434.78
4.2,42,Female,Master's,Financial Analyst,Chicago,Tech,118392.21
15.5,56,Male,Master's,Data Scientist,Chennai,Media,42086.56
26.3,23,Male,Bachelor's,Consultant,Bengaluru,Pharmaceutical,54828.81
22.2,48,Female,Master's,Consultant,Austin,Media,207553.41
20.9,23,Female,Bachelor's,Software Engineer,Remote_India,Manufacturing,30749.05
21.1,56,Male,Bachelor's,Cybersecurity Analyst,Austin,Media,182624.16
10.8,39,Male,Master's,Data Scientist,London,Tech,185547.59
8.8,35,Female,High School,Healthcare Administrator,Mumbai,Healthcare,29043.71
24.3,41,Male,High School,UX Designer,San Francisco,Consulting,222718.85
24.3,39,Male,Master's,Data Scientist,Hyderabad,Education,48118.23
26.0,31,Female,Bachelor's,Product Manager,Mumbai,Manufacturing,46285.71
27.4,46,Female,Bachelor's,UX Designer,Chicago,Tech,193874.98
15.3,23,Male,Bachelor's,Software Engineer,Bengaluru,Tech,42076.98
15.0,46,Female,Master's,Financial Analyst,Chicago,Aerospace,160457.35
23.9,54,Female,PhD,Marketing Specialist,Seattle,Retail,238743.81
19.5,57,Female,Master's,Consultant,Austin,Tech,213421.4
21.1,52,Female,Bachelor's,Software Engineer,Remote_USA,Pharmaceutical,163313.94
23.9,35,Male,Bachelor's,Financial Analyst,Seattle,Aerospace,208984.58
26.7,22,Male,Bachelor's,Software Engineer,Hyderabad,Tech,43919.88
10.1,37,Male,High School,Consultant,Hyderabad,Media,29699.56
11.3,24,Female,High School,Software Engineer,Mumbai,Automotive,28685.11
2.8,56,Male,Bachelor's,Cloud Engineer,Remote_Bengaluru,Automotive,31803.25
17.3,62,Female,Bachelor's,Consultant,London,Aerospace,200543.18
1.1,27,Male,PhD,Sales Rep,Delhi,Retail,22793.69
14.0,46,Male,Bachelor's,UX Designer,Delhi,Finance,37018.96
16.3,34,Female,Bachelor's,Software Engineer,Chicago,Tech,147579.49
8.6,55,Male,High School,Product Manager,Berlin,Tech,126324.37
17.7,29,Male,PhD,Civil Engineer,New York,Healthcare,203672.42
0.9,42,Female,Master's,Cybersecurity Analyst,Remote_USA,Finance,113293.97
1.1,55,Male,Master's,Software Engineer,Remote_India,Tech,31085.29
24.7,25,Female,PhD,Marketing Specialist,San Francisco,Finance,249318.49
10.8,46,Female,Bachelor's,Consultant,Austin,Tech,154176.32
3.8,36,Male,Bachelor's,Marketing Specialist,Delhi,Media,23918.61
15.7,25,Female,Bachelor's,Software Engineer,Delhi,Finance,33892.26
23.1,33,Female,Bachelor's,Data Scientist,Remote_India,Education,38132.1
6.5,53,Male,Bachelor's,Data Scientist,London,Retail,150099.41
18.7,53,Male,Bachelor's,Civil Engineer,San Francisco,Tech,221256.41
2.6,49,Male,PhD,Sales Rep,New York,Automotive,166370.62
1.6,34,Female,PhD,Sales Rep,Hyderabad,Retail,26094.83
15.9,52,Male,Master's,Cloud Engineer,Chicago,Finance,189079.05
16.2,35,Female,Master's,Marketing Specialist,Chennai,Tech,36706.71
19.1,41,Female,Master's,Cybersecurity Analyst,San Francisco,Finance,217669.28
21.8,39,Female,Bachelor's,Sales Rep,Bengaluru,Tech,47818.77
29.3,50,Male,High School,Software Engineer,Mumbai,Finance,59767.64
15.5,27,Male,Master's,Cloud Engineer,Delhi,Retail,36442.91
9.7,53,Female,Master's,Sales Rep,Mumbai,Government,38312.71
23.9,50,Male,High School,Data Scientist,Mumbai,Consulting,52259.1
8.1,64,Male,PhD,Product Manager,Remote_USA,Tech,182367.42
13.2,23,Male,High School,Software Engineer,New York,Tech,158347.44
2.4,44,Male,Bachelor's,Sales Rep,San Francisco,Healthcare,130446.32
0.8,40,Female,Master's,Civil Engineer,Bengaluru,Tech,31147.34
28.9,52,Male,Bachelor's,Cloud Engineer,Remote_USA,Tech,214602.07
25.1,26,Male,High School,Cloud Engineer,Mumbai,Pharmaceutical,50088.08
20.9,40,Male,Bachelor's,Software Engineer,Chicago,Tech,188389.42
12.3,55,Female,Master's,UX Designer,Hyderabad,Media,37848.8
5.2,31,Female,Bachelor's,Software Engineer,Berlin,Tech,90614.86
4.7,46,Male,Master's,Civil Engineer,Chicago,Logistics,122704.5
7.5,23,Female,Bachelor's,Product Manager,Austin,Education,111063.29
16.5,32,Female,High School,Marketing Specialist,San Francisco,Manufacturing,167674.32
21.4,52,Female,PhD,Consultant,Delhi,Tech,55532.48
19.8,36,Female,High School,UX Designer,Bengaluru,Government,39379.41
8.4,30,Male,PhD,Product Manager,Austin,Media,154104.25
28.6,44,Male,Bachelor's,DevOps Engineer,Chennai,Consulting,49338.3
22.1,40,Male,PhD,DevOps Engineer,San Francisco,Retail,270313.91
16.6,30,Male,High School,Product Manager,Delhi,Manufacturing,33822.09
18.4,56,Other,Bachelor's,Sales Rep,Mumbai,Tech,50227.88
12.6,42,Male,Bachelor's,DevOps Engineer,Remote_India,Education,30511.61
7.4,30,Male,High School,Software Engineer,New York,Media,125015.58
10.7,49,Female,Master's,UX Designer,Berlin,Finance,133413.84
22.7,28,Female,Bachelor's,Software Engineer,Hyderabad,Tech,42101.22
0.4,37,Male,Bachelor's,Sales Rep,Seattle,Healthcare,103962.74
3.5,37,Male,High School,Software Engineer,Austin,Manufacturing,106269.56
1.4,54,Male,Bachelor's,UX Designer,Bengaluru,Tech,33112.12
1.2,25,Female,Master's,Data Scientist,London,Tech,116653.55
25.7,25,Male,Bachelor's,Financial Analyst,London,Tech,203143.03
21.1,60,Male,Master's,Healthcare Administrator,Mumbai,Pharmaceutical,57984.08
14.2,61,Female,Master's,Teacher/Professor,Berlin,Tech,156788.58
2.9,38,Male,Master's,Civil Engineer,New York,Consulting,141002.16
14.7,58,Female,Bachelor's,Marketing Specialist,New York,Finance,203653.77
14.2,60,Female,Master's,Software Engineer,Toronto,Manufacturing,147539.61
5.2,50,Male,PhD,Data Scientist,Remote_Bengaluru,Logistics,43944.27
13.0,57,Female,Master's,Cloud Engineer,Bengaluru,Tech,55840.57
12.0,59,Female,Bachelor's,Product Manager,Remote_India,Finance,32515.21
18.5,60,Male,Master's,Software Engineer,Sydney,Media,183327.23
19.1,58,Female,Master's,Consultant,Remote_Bengaluru,Finance,50076.2
1.4,56,Female,Master's,Product Manager,London,Tech,161206.93
11.2,28,Female,High School,Data Scientist,Remote_India,Media,27454.04
18.8,48,Male,Bachelor's,Healthcare Administrator,Austin,Food & Beverage,174590.83
15.1,49,Other,Master's,Civil Engineer,London,Retail,168509.65
25.7,43,Male,Bachelor's,UX Designer,Austin,Finance,190651.79
19.8,35,Male,Master's,Healthcare Administrator,Berlin,Finance,168536.76
4.9,28,Male,Bachelor's,HR Manager,Bengaluru,Tech,27947.44
2.1,58,Male,Bachelor's,Consultant,Hyderabad,Pharmaceutical,29669.46
19.3,43,Female,High School,Software Engineer,Mumbai,Pharmaceutical,48748.36
0.8,26,Male,Bachelor's,Software Engineer,San Francisco,Government,105509.94
17.6,23,Male,PhD,Marketing Specialist,Chicago,Tech,163698.11
28.2,48,Female,Master's,Cybersecurity Analyst,Singapore,Retail,206158.88
17.3,42,Male,Master's,Marketing Specialist,Sydney,Tech,182759.13
11.6,59,Male,Bachelor's,Software Engineer,Remote_USA,Finance,158688.37
19.3,36,Male,Master's,Software Engineer,Singapore,Pharmaceutical,183189.79
13.7,42,Male,Master's,Civil Engineer,London,Tech,178888.65
16.4,31,Male,Bachelor's,Software Engineer,Delhi,Education,33939.83
28.2,44,Female,High School,Financial Analyst,New York,Consulting,204786.13
11.6,60,Male,Master's,Software Engineer,Toronto,Logistics,152249.3
28.8,26,Male,Master's,Software Engineer,Delhi,Pharmaceutical,51009.17
27.2,22,Female,PhD,HR Manager,Berlin,Pharmaceutical,176521.4
5.9,34,Female,High School,HR Manager,London,Retail,87665.44
2.1,42,Male,Master's,Product Manager,London,Tech,146595.59
3.0,47,Female,Bachelor's,Data Scientist,Hyderabad,Healthcare,24445.5
0.5,42,Male,Bachelor's,Teacher/Professor,Chicago,Retail,85104.93
2.8,39,Female,High School,Data Scientist,Remote_USA,Consulting,90422.74
20.5,58,Female,Bachelor's,Financial Analyst,Chicago,Education,162925.41
2.1,53,Male,Bachelor's,DevOps Engineer,New York,Finance,147185.87
9.6,57,Female,Bachelor's,Software Engineer,Delhi,Finance,34047.3
25.3,38,Male,Master's,Cloud Engineer,Hyderabad,Tech,50273.31
0.7,56,Female,Master's,Data Scientist,London,Consulting,146173.18
24.4,32,Male,Bachelor's,Financial Analyst,San Francisco,Education,206381.72
